SCENARIO_NUM,TRIAL_MEAN,TRIAL_SD,VIS_REP,VIS_TYPE,JUDGEMENT,JUDGEMENT_DIRECTION,SKEW,VIS_INFO,BLOCK,true_value,sample_mean,sample_median,sample_mode,sample_SD,sample_IQR,judgement_value
1,33,0.1,Graphical,Median,Pre,-0.3,Symmetrical,1_Graphical_Median-0.3.png,1,30,33.7,34,37,3.876933356,6.75,30
1,33,0.1,Graphical,Mean_SD,Pre,-0.3,Symmetrical,1_Graphical_Standard_Deviation-0.3.png,1,30,33.7,34,37,3.876933356,6.75,30
1,33,0.1,Graphical,Boxplot,Pre,-0.3,Symmetrical,1_Graphical_Quantiles-0.3.png,1,30,33.7,34,37,3.876933356,6.75,30
1,33,0.1,Graphical,Violin,Pre,-0.3,Symmetrical,1_Graphical_Violin-0.3.png,1,30,33.7,34,37,3.876933356,6.75,30
1,33,0.1,Graphical,Median,Post,-0.3,Symmetrical,1_Graphical_Median-0.3.png,1,30,33.7,34,37,3.876933356,6.75,30
1,33,0.1,Graphical,Mean_SD,Post,-0.3,Symmetrical,1_Graphical_Standard_Deviation-0.3.png,1,30,33.7,34,37,3.876933356,6.75,30
1,33,0.1,Graphical,Boxplot,Post,-0.3,Symmetrical,1_Graphical_Quantiles-0.3.png,1,30,33.7,34,37,3.876933356,6.75,30
1,33,0.1,Graphical,Violin,Post,-0.3,Symmetrical,1_Graphical_Violin-0.3.png,1,30,33.7,34,37,3.876933356,6.75,30
1,33,0.1,Graphical,Median,Pre,0.3,Symmetrical,1_Graphical_Median0.3.png,1,33,33.7,34,37,3.876933356,6.75,37
1,33,0.1,Graphical,Mean_SD,Pre,0.3,Symmetrical,1_Graphical_Standard_Deviation0.3.png,1,33,33.7,34,37,3.876933356,6.75,37
1,33,0.1,Graphical,Boxplot,Pre,0.3,Symmetrical,1_Graphical_Quantiles0.3.png,1,33,33.7,34,37,3.876933356,6.75,37
1,33,0.1,Graphical,Violin,Pre,0.3,Symmetrical,1_Graphical_Violin0.3.png,1,33,33.7,34,37,3.876933356,6.75,37
1,33,0.1,Graphical,Median,Post,0.3,Symmetrical,1_Graphical_Median0.3.png,1,33,33.7,34,37,3.876933356,6.75,37
1,33,0.1,Graphical,Mean_SD,Post,0.3,Symmetrical,1_Graphical_Standard_Deviation0.3.png,1,33,33.7,34,37,3.876933356,6.75,37
1,33,0.1,Graphical,Boxplot,Post,0.3,Symmetrical,1_Graphical_Quantiles0.3.png,1,33,33.7,34,37,3.876933356,6.75,37
1,33,0.1,Graphical,Violin,Post,0.3,Symmetrical,1_Graphical_Violin0.3.png,1,33,33.7,34,37,3.876933356,6.75,37
